Date,Venue,City,Region,Composer Name,Variant Title,Work Title,Concert Info,Works Info,Conductor/Performer,Ensemble,Holdings 1,Holdings 2,URL [primary source],URL [catalog]
1883-08-03T00:00,Town Hall,Saratoga,New York,"Liszt, Franz",Rhapsodie No. 6,"Rhapsodie Hongroise No. 6, S.244/6",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-03T00:00,Town Hall,Saratoga,New York,"Moszkowsky, Moritz",Serenade,"Serenata - 6 Klavierstücke, Op. 15",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-03T00:00,Town Hall,Saratoga,New York,"Tausig, Carl",Nachtfalter (waltz),Valse-Caprice No. 1,Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-04T00:00,Town Hall,Saratoga,New York,"Weber, Carl Maria von",Andante and Finale from Sonate in C major,"Andante and Finale - Piano Sonata No. 1 in C major, Op. 24",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-04T00:00,Town Hall,Saratoga,New York,"MacDowell, Edward","Andantino, Moderne Suite op. 10","Andantino - First Modern Suite, Op. 10",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-04T00:00,Town Hall,Saratoga,New York,"Rubinstein, Anton",Grande Valse in E flat,Valse-Caprice in E-flat Major,Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-24T09:00,United States Hotel,Saratoga,New York,"Liszt, Franz","Rhapsodie Hongroise, No. 6","Rhapsodie Hongroise No. 6, S.244/6",Invitation Concert,Incomplete program,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-24T09:00,United States Hotel,Saratoga,New York,"MacDowell, Edward",Serenade,"Serenade, Op. 16",Invitation Concert,Incomplete program,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-24T09:00,United States Hotel,Saratoga,New York,"Mason, William",Silver Spring,"Silver Spring, Op. 6",Invitation Concert,Incomplete program,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-10-30T0:00,Central Music Hall,Chicago,Illinois,"Liszt, Franz","Rhapsodie Hongroise, No. 6","Rhapsodie Hongroise No. 6, S.244/6",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,,
1883-10-30T0:00,Central Music Hall,Chicago,Illinois,"Henselt, Adolf von",“Si Oiseau J’Etais”,"Si Oiseau j'Etais - 12 Études caractéristiques de Concert, Op. 2",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,,
1883-10-30T0:00,Central Music Hall,Chicago,Illinois,"Rubinstein, Anton",“La Fausse Note” (Etude),"Étude sur des notes fausses, S.554a",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Beethoven, Ludwig van","Sonata Appassionata, Op. 57","Piano Sonata No. 23, Op. 57",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Chopin, Fryderyk",Prelude in D flat,"Prelude, Op. 28 No. 15",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Chopin, Fryderyk",Polonaise in C sharp minor,"Polonaise, Op. 26 No. 1",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Chopin, Fryderyk",Tarantelle,"Tarantella, Op. 43",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"MacDowell, Edward",Moderne Suite,"Second Modern Suite, Op. 14",,First U.S. performance,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Schubert, Franz",Impromptu,Impromptu,,Opus/number not identified,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Hiller, Ferdinand",Zur Guitarre,"Zur Guitarre, Op. 97",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Schubert, Franz / Liszt, Franz",Soiree de Vienne (Valse),"Soirées de Vienne, S.427",,Opus/number not identified,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Mendelssohn, Felix",Prelude and Fugue,Prelude and Fugue,,Opus/number not identified,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Schumann, Robert",Des Abends,"Des Abends - Fantasiestücke, Op. 12",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Dulcken, Ferdinand Quentin",Minuetto,"Minuet de Bocherini, Op. 107",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1884-03-08T02:30,Weber Music Hall,Chicago,Illinois,"Rubinstein, Anton",Etude,Etude,,Opus/number not identified,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-03-16T03:30,Chickering Hall,New York,New York,"MacDowell, Edward",Suite Moderne,Suite Moderne,Mr. Frederic Archer's Sixth Series of Monday Organ Matinees,Opus/number not identified,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
