Decade,Date,Venue,City,State,Country,Coverage,Composer Name,Variant Title,Work Title,Concert Info,Works Info,Conductor/Performer,Ensemble,Holdings 1,RISM 1,Holdings 2,RISM 2,Resource URL,Record URL,,
1880,1883-08-04T00:00,Town Hall,Saratoga,New York,United States,"43.0324245, -73.9359821","Rubinstein, Anton",Grande Valse in E flat,Valse-Caprice in E-flat Major,Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-24T21:00,United States Hotel,Saratoga,New York,United States,"43.0324245, -73.9359821","Liszt, Franz","Rhapsodie Hongroise, No. 6","Rhapsodie Hongroise no. 6, S.244/6",Invitation Concert,Incomplete program,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-24T21:00,United States Hotel,Saratoga,New York,United States,"43.0324245, -73.9359821","MacDowell, Edward",Serenade,"Serenade, op. 16",Invitation Concert,Incomplete program,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-24T21:00,United States Hotel,Saratoga,New York,United States,"41.8781136, -87.6297982","Mason, William",Silver Spring,"Silver Spring, op. 6",Invitation Concert,Incomplete program,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-10-30T0:00,Central Music Hall,Chicago,Illinois,United States,"41.8781136, -87.6297982","Liszt, Franz","Rhapsodie Hongroise, No. 6","Rhapsodie Hongroise no. 6, S.244/6",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,,http://catalog.nypl.org/record=b18275085~S1,,
1880,1883-10-30T0:00,Central Music Hall,Chicago,Illinois,United States,"41.8781136, -87.6297982","Henselt, Adolf von",“Si Oiseau J’Etais”,"Si Oiseau j'Etais - 12 Études caractéristiques de Concert, op. 2",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,,http://catalog.nypl.org/record=b18275085~S1,,
1880,1883-10-30T0:00,Central Music Hall,Chicago,Illinois,United States,"41.8781136, -87.6297982","Rubinstein, Anton",“La Fausse Note” (Etude),"Étude sur des notes fausses, S.554a",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,,http://catalog.nypl.org/record=b18275085~S1,,
1880,1884-03-08T14:30,Weber Music Hall,Chicago,Illinois,United States,"41.8781136, -87.6297982","Beethoven, Ludwig van","Sonata Appassionata, Op. 57","Piano Sonata no. 23, op. 57",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,,,,,
1880,1884-03-08T14:30,Weber Music Hall,Chicago,Illinois,United States,"41.8781136, -87.6297982","Chopin, Fryderyk",Prelude in D flat,"Prelude, op. 28 no. 15",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,,,,,
1880,1884-03-08T14:30,Weber Music Hall,Chicago,Illinois,United States,"41.8781136, -87.6297982","Chopin, Fryderyk",Polonaise in C sharp minor,"Polonaise, op. 26 no. 1",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,,,,,
